entity_id,state,last_changed
sensor.multisensor_raw_air_quality,313.399,2025-09-11T22:12:01.424Z
sensor.multisensor_raw_air_quality,312.9367,2025-09-11T22:22:01.346Z
sensor.multisensor_raw_air_quality,313.1673,2025-09-11T22:27:01.374Z
sensor.multisensor_raw_air_quality,311.8888,2025-09-11T22:32:01.357Z
sensor.multisensor_raw_air_quality,312.3561,2025-09-11T22:37:01.366Z
sensor.multisensor_raw_air_quality,311.302,2025-09-11T22:42:01.352Z
sensor.multisensor_raw_air_quality,311.7714,2025-09-11T22:47:01.404Z
sensor.multisensor_raw_air_quality,310.2368,2025-09-11T22:52:01.361Z
sensor.multisensor_raw_air_quality,309.6398,2025-09-11T22:57:01.502Z
sensor.multisensor_raw_air_quality,306.4785,2025-09-11T23:02:01.366Z
sensor.multisensor_raw_air_quality,,2025-09-11T23:03:36.611Z
sensor.multisensor_raw_air_quality,unknown,2025-09-11T23:03:36.647Z
sensor.multisensor_raw_air_quality,307.4622,2025-09-11T23:07:01.372Z
sensor.multisensor_raw_air_quality,308.4357,2025-09-11T23:12:01.404Z
sensor.multisensor_raw_air_quality,308.9194,2025-09-11T23:17:02.156Z
sensor.multisensor_raw_air_quality,312.2388,2025-09-11T23:22:01.619Z
sensor.multisensor_raw_air_quality,312.8204,2025-09-11T23:27:01.372Z
sensor.multisensor_raw_air_quality,314.6582,2025-09-11T23:32:01.466Z
sensor.multisensor_raw_air_quality,317.7929,2025-09-11T23:37:01.383Z
sensor.multisensor_raw_air_quality,318.7796,2025-09-11T23:42:01.403Z
sensor.multisensor_raw_air_quality,320.2939,2025-09-11T23:47:01.384Z
sensor.multisensor_raw_air_quality,320.7163,2025-09-11T23:52:01.383Z
sensor.multisensor_raw_air_quality,321.7612,2025-09-11T23:57:01.483Z
sensor.multisensor_raw_air_quality,322.7939,2025-09-12T00:02:01.381Z
sensor.multisensor_raw_air_quality,324.4235,2025-09-12T00:07:01.389Z
sensor.multisensor_raw_air_quality,325.2276,2025-09-12T00:12:01.384Z
sensor.multisensor_raw_air_quality,326.6184,2025-09-12T00:27:01.403Z
sensor.multisensor_raw_air_quality,325.4275,2025-09-12T00:32:01.403Z
sensor.multisensor_raw_air_quality,327.0122,2025-09-12T00:37:01.402Z
sensor.multisensor_raw_air_quality,326.6184,2025-09-12T00:42:01.403Z
sensor.multisensor_raw_air_quality,326.4214,2025-09-12T00:47:01.406Z
sensor.multisensor_raw_air_quality,324.0194,2025-09-12T00:52:01.409Z
sensor.multisensor_raw_air_quality,322.999,2025-09-12T00:57:01.417Z
sensor.multisensor_raw_air_quality,323.4081,2025-09-12T01:02:01.425Z
sensor.multisensor_raw_air_quality,322.999,2025-09-12T01:07:01.429Z
sensor.multisensor_raw_air_quality,322.1755,2025-09-12T01:12:01.426Z
sensor.multisensor_raw_air_quality,322.7939,2025-09-12T01:22:01.432Z
sensor.multisensor_raw_air_quality,322.5888,2025-09-12T01:27:01.439Z
sensor.multisensor_raw_air_quality,321.9684,2025-09-12T01:32:01.428Z
sensor.multisensor_raw_air_quality,321.1357,2025-09-12T01:37:01.433Z
sensor.multisensor_raw_air_quality,322.3827,2025-09-12T01:42:01.446Z
sensor.multisensor_raw_air_quality,322.1755,2025-09-12T01:47:01.425Z
sensor.multisensor_raw_air_quality,322.5888,2025-09-12T01:52:01.436Z
sensor.multisensor_raw_air_quality,322.7939,2025-09-12T01:57:01.438Z
sensor.multisensor_raw_air_quality,322.5888,2025-09-12T02:02:01.452Z
sensor.multisensor_raw_air_quality,323.2041,2025-09-12T02:07:01.475Z
sensor.multisensor_raw_air_quality,322.1755,2025-09-12T02:12:01.624Z
sensor.multisensor_raw_air_quality,321.553,2025-09-12T02:17:01.444Z
sensor.multisensor_raw_air_quality,322.1755,2025-09-12T02:27:01.447Z
sensor.multisensor_raw_air_quality,321.1357,2025-09-12T02:32:01.500Z
sensor.multisensor_raw_air_quality,321.553,2025-09-12T02:37:01.462Z
sensor.multisensor_raw_air_quality,321.3449,2025-09-12T02:42:01.452Z
sensor.multisensor_raw_air_quality,321.7612,2025-09-12T02:47:01.458Z
sensor.multisensor_raw_air_quality,321.553,2025-09-12T02:52:01.575Z
sensor.multisensor_raw_air_quality,320.9265,2025-09-12T03:02:01.458Z
sensor.multisensor_raw_air_quality,320.7163,2025-09-12T03:07:01.483Z
sensor.multisensor_raw_air_quality,320.9265,2025-09-12T03:12:01.468Z
sensor.multisensor_raw_air_quality,320.5061,2025-09-12T03:17:01.485Z
sensor.multisensor_raw_air_quality,321.4673,2025-09-12T03:22:01.465Z
